Date,DHT11#1 Humidity,DHT11#1 Temperature,DHT11#2 Humidity,DHT11#2 Temperature,DHT22#3 Humidity,DHT22#3 Temperature
2016-08-23T22:50:47.761-0600,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2016-08-23T22:50:53.992-0600,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2016-08-23T22:51:00.373-0600,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2016-08-23T22:51:06.455-0600,ERROR,ERROR,ERROR,ERROR,45.7,24
2016-08-23T22:51:12.256-0600,20,21,17,21,45.7,24.1
2016-08-23T22:51:18.057-0600,20,21,17,21,45.6,24
2016-08-23T22:51:23.859-0600,20,21,17,21,45.7,24.1
2016-08-23T22:51:29.660-0600,20,21,17,21,45.5,24
2016-08-23T22:51:36.836-0600,ERROR,ERROR,17,21,45.6,24.1
2016-08-23T22:51:42.655-0600,20,21,17,21,45.6,24.1
2016-08-23T22:51:48.461-0600,20,21,17,21,45.5,24
2016-08-23T22:51:54.262-0600,20,21,17,21,45.5,24
2016-08-23T22:52:00.063-0600,20,21,17,21,45.5,24
2016-08-23T22:52:05.864-0600,20,21,17,21,45.5,24
2016-08-23T22:52:11.666-0600,20,21,17,21,45.5,24
2016-08-23T22:52:17.467-0600,20,21,17,21,45.5,24
2016-08-23T22:52:23.268-0600,20,21,17,21,45.5,24
2016-08-23T22:52:29.069-0600,20,21,17,21,45.5,24
2016-08-23T22:52:34.870-0600,20,21,17,21,45.9,24
2016-08-23T22:52:40.680-0600,20,21,17,21,45.8,24
2016-08-23T22:52:46.485-0600,20,21,17,21,45.8,24
2016-08-23T22:52:52.287-0600,20,21,17,21,45.9,24
2016-08-23T22:52:58.088-0600,20,21,17,21,45.8,23.9
2016-08-23T22:53:03.889-0600,20,21,17,21,45.9,23.9
2016-08-23T22:53:09.690-0600,20,21,17,21,45.8,23.9
2016-08-23T22:53:15.491-0600,20,21,17,21,45.9,23.9
2016-08-23T22:53:21.292-0600,20,21,17,21,45.9,23.9
2016-08-23T22:53:27.093-0600,20,21,17,21,45.9,23.9
2016-08-23T22:53:32.917-0600,20,21,17,21,46,23.9
2016-08-23T22:53:38.723-0600,20,21,17,21,46,23.8
2016-08-23T22:53:44.529-0600,20,21,17,21,45.9,23.8
2016-08-23T22:53:50.330-0600,20,21,17,21,45.9,23.8
2016-08-23T22:53:56.131-0600,20,21,17,21,46,23.8
2016-08-23T22:54:01.932-0600,20,21,17,21,46.1,23.8
2016-08-23T22:54:07.733-0600,20,21,17,21,46.1,23.8
2016-08-23T22:54:13.534-0600,20,21,17,21,46.2,23.8
2016-08-23T22:54:19.335-0600,20,21,17,21,46.2,23.7
2016-08-23T22:54:25.136-0600,20,21,17,21,46.4,23.7
